"Searched Name","Company Number","Registered Name","Confidence","Status","Confidence Level","Companies House URL"
"Prince Petroleum Ltd","00749966","PRINCE PETROLEUM LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/00749966"
"R & R C Bond (Wholesale) Ltd","01024495","R & R.C.BOND (WHOLESALE)LIMITED","85%","active","High","https://find-and-update.company-information.service.gov.uk/company/01024495"
"R & R C Bond (Wholesale) Ltd","NI740546","R & R C BOND WHOLESALE (NORTHERN IRELAND) LTD","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/NI740546"
"R & R C Bond (Wholesale) Ltd","SC794227","R & R C BOND WHOLESALE (SCOTLAND) LTD","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/SC794227"
"R & R C Bond (Wholesale) Ltd","13833973","R & R C BOND (CHURCHILL TYRES) LIMITED","25%","active","Low","https://find-and-update.company-information.service.gov.uk/company/13833973"
"Scotland & Bates Ltd","11184418","SCOTLAND & BATES LTD","99%","active","High","https://find-and-update.company-information.service.gov.uk/company/11184418"
"T. Quality Ltd","00437914","T. QUALITY LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/00437914"
"T. Quality Ltd","14886295","AAA QUALITY SERVICES LTD","30%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/14886295"
"The AF Group Ltd","IP29539R","THE AF GROUP LIMITED","100%","active","High","https://find-and-update.company-information.service.gov.uk/company/IP29539R"
"The AF Group Ltd","16809923","THE AFD GROUP LIMITED","45%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16809923"
"Thomas Armstrong Aggregates Ltd","01278704","THOMAS ARMSTRONG (AGGREGATES) LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/01278704"
"Thomas Armstrong Aggregates Ltd","02045919","ARMSTRONGS AGGREGATES LIMITED","65%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/02045919"
"Thomas Armstrong Aggregates Ltd","00818912","THOMAS ARMSTRONG (CONCRETE BLOCKS) LIMITED","55%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/00818912"
"Thomas Armstrong Aggregates Ltd","17092435","THOMAS ARMSTRONG & BROTHER LTD","40%","active","Low","https://find-and-update.company-information.service.gov.uk/company/17092435"
"Thomas Armstrong Aggregates Ltd","09563647","THOMAS CROMPTON AGGREGATES LIMITED","28%","active","Low","https://find-and-update.company-information.service.gov.uk/company/09563647"
"Transport Equipment Services Ltd","09562800","TRANSPORT EQUIPMENT SERVICES LTD","100%","active","High","https://find-and-update.company-information.service.gov.uk/company/09562800"
"Transport Equipment Services Ltd","SC313319","TRANSPORTATION EQUIPMENT & SERVICES LTD.","65%","dissolved","Medium","https://find-and-update.company-information.service.gov.uk/company/SC313319"
"Transport Equipment Services Ltd","04668530","LUDO MCGURK TRANSPORT EQUIPMENT LIMITED","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/04668530"
"TSL Vanguard Ltd","01667871","TSL VANGUARD LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/01667871"
"Warrington Borough Transport Ltd","01990371","WARRINGTON BOROUGH TRANSPORT LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01990371"
"Warrington Borough Transport Ltd","05020142","WARRINGTON COACHWAYS LTD","35%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/05020142"
"Whitkirk Waste Solutions Ltd","05647893","WHITKIRK WASTE SOLUTIONS LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/05647893"
"Whitkirk Waste Solutions Ltd","11709987","WHITKIRK BUILDING SERVICES LTD","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/11709987"
"Wixey Transport Ltd","04667677","WIXEY TRANSPORT LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/04667677"
"Wixey Transport Ltd","16514677","SARAH WIXEY CONSULTING LTD","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16514677"
"Wixey Transport Ltd","16662342","WIXEY LIMITED","25%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16662342"
